,title,year,recipients,num_recipients,motivation
566,The Nobel Prize in Chemistry,1915,['Richard Martin Willstätter'],1,"“for his researches on plant pigments, especially chlorophyll”"
567,The Nobel Prize in Physiology or Medicine,1915,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
568,The Nobel Prize in Literature,1915,['Romain Rolland'],1,“as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings”
569,The Nobel Peace Prize,1915,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
570,The Nobel Prize in Physics,1914,['Max von Laue'],1,“for his discovery of the diffraction of X-rays by crystals”
571,The Nobel Prize in Chemistry,1914,['Theodore William Richards'],1,“in recognition of his accurate determinations of the atomic weight of a large number of chemical elements”
572,The Nobel Prize in Physiology or Medicine,1914,['Robert Bárány'],1,“for his work on the physiology and pathology of the vestibular apparatus”
573,The Nobel Prize in Literature,1914,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
574,The Nobel Peace Prize,1914,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
575,The Nobel Prize in Physics,1913,['Heike Kamerlingh Onnes'],1,"“for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium”"
576,The Nobel Prize in Chemistry,1913,['Alfred Werner'],1,“in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry”
577,The Nobel Prize in Physiology or Medicine,1913,['Charles Robert Richet'],1,“in recognition of his work on anaphylaxis”
578,The Nobel Prize in Literature,1913,['Rabindranath Tagore'],1,"“because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West”"
579,The Nobel Peace Prize,1913,['Henri La Fontaine'],1,
580,The Nobel Prize in Physics,1912,['Nils Gustaf Dalén'],1,“for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys”
581,The Nobel Prize in Chemistry,1912,"['Victor Grignard', 'Paul Sabatier']",2,"“for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry”"
582,The Nobel Prize in Physiology or Medicine,1912,['Alexis Carrel'],1,“in recognition of his work on vascular suture and the transplantation of blood vessels and organs”
583,The Nobel Prize in Literature,1912,['Gerhart Johann Robert Hauptmann'],1,"“primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art”"
584,The Nobel Peace Prize,1912,['Elihu Root'],1,
585,The Nobel Prize in Physics,1911,['Wilhelm Wien'],1,“for his discoveries regarding the laws governing the radiation of heat”
586,The Nobel Prize in Chemistry,1911,"['Marie Curie, née Sklodowska']",1,"“in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element”"
587,The Nobel Prize in Physiology or Medicine,1911,['Allvar Gullstrand'],1,“for his work on the dioptrics of the eye”
588,The Nobel Prize in Literature,1911,['Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck'],1,"“in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers’ own feelings and stimulate their imaginations”"
589,The Nobel Peace Prize,1911,"['Tobias Michael Carel Asser', 'Alfred Hermann Fried']",2,
590,The Nobel Prize in Physics,1910,['Johannes Diderik van der Waals'],1,“for his work on the equation of state for gases and liquids”
591,The Nobel Prize in Chemistry,1910,['Otto Wallach'],1,“in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds”
592,The Nobel Prize in Physiology or Medicine,1910,['Albrecht Kossel'],1,"“in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances”"
593,The Nobel Prize in Literature,1910,['Paul Johann Ludwig Heyse'],1,"“as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories”"
594,The Nobel Peace Prize,1910,['Bureau international permanent de la Paix (Permanent International Peace Bureau) '],1,
595,The Nobel Prize in Physics,1909,"['Guglielmo Marconi', 'Karl Ferdinand Braun']",2,“in recognition of their contributions to the development of wireless telegraphy”
596,The Nobel Prize in Chemistry,1909,['Wilhelm Ostwald'],1,“in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction”
597,The Nobel Prize in Physiology or Medicine,1909,['Emil Theodor Kocher'],1,"“for his work on the physiology, pathology and surgery of the thyroid gland”"
598,The Nobel Prize in Literature,1909,['Selma Ottilia Lovisa Lagerlöf'],1,"“in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings”"
599,The Nobel Peace Prize,1909,"['Auguste Marie François Beernaert', 'Paul Henri Benjamin Balluet d’Estournelles de Constant, Baron de Constant de Rebecque']",2,
600,The Nobel Prize in Physics,1908,['Gabriel Lippmann'],1,“for his method of reproducing colours photographically based on the phenomenon of interference”
601,The Nobel Prize in Chemistry,1908,['Ernest Rutherford'],1,"“for his investigations into the disintegration of the elements, and the chemistry of radioactive substances”"
602,The Nobel Prize in Physiology or Medicine,1908,"['Ilya Ilyich Mechnikov', 'Paul Ehrlich']",2,“in recognition of their work on immunity”
603,The Nobel Prize in Literature,1908,['Rudolf Christoph Eucken'],1,"“in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life”"
604,The Nobel Peace Prize,1908,"['Klas Pontus Arnoldson', 'Fredrik Bajer']",2,
605,The Nobel Prize in Physics,1907,['Albert Abraham Michelson'],1,“for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid”
606,The Nobel Prize in Chemistry,1907,['Eduard Buchner'],1,“for his biochemical researches and his discovery of cell-free fermentation”
607,The Nobel Prize in Physiology or Medicine,1907,['Charles Louis Alphonse Laveran'],1,“in recognition of his work on the role played by protozoa in causing diseases”
608,The Nobel Prize in Literature,1907,['Rudyard Kipling'],1,"“in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author”"
609,The Nobel Peace Prize,1907,"['Ernesto Teodoro Moneta', 'Louis Renault']",2,
610,The Nobel Prize in Physics,1906,['Joseph John Thomson'],1,“in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases”
611,The Nobel Prize in Chemistry,1906,['Henri Moissan'],1,"“in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him”"
612,The Nobel Prize in Physiology or Medicine,1906,"['Camillo Golgi', 'Santiago Ramón y Cajal']",2,“in recognition of their work on the structure of the nervous system”
613,The Nobel Prize in Literature,1906,['Giosuè Carducci'],1,"“not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces”"
614,The Nobel Peace Prize,1906,['Theodore Roosevelt'],1,
615,The Nobel Prize in Physics,1905,['Philipp Eduard Anton von Lenard'],1,“for his work on cathode rays”
616,The Nobel Prize in Chemistry,1905,['Johann Friedrich Wilhelm Adolf von Baeyer'],1,"“in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds”"
617,The Nobel Prize in Physiology or Medicine,1905,['Robert Koch'],1,“for his investigations and discoveries in relation to tuberculosis”
618,The Nobel Prize in Literature,1905,['Henryk Sienkiewicz'],1,“because of his outstanding merits as an epic writer”
619,The Nobel Peace Prize,1905,"['Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau']",1,
620,The Nobel Prize in Physics,1904,['Lord Rayleigh (John William Strutt)'],1,“for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies”
621,The Nobel Prize in Chemistry,1904,['Sir William Ramsay'],1,"“in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system”"
622,The Nobel Prize in Physiology or Medicine,1904,['Ivan Petrovich Pavlov'],1,"“in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged”"
623,The Nobel Prize in Literature,1904,"['Frédéric Mistral', 'José Echegaray y Eizaguirre']",2,"“in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Provençal philologist”"
624,The Nobel Peace Prize,1904,['Institut de droit international (Institute of International Law) '],1,
625,The Nobel Prize in Physics,1903,"['Antoine Henri Becquerel', 'Pierre Curie', 'Marie Curie, née Sklodowska']",3,“in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity”
626,The Nobel Prize in Chemistry,1903,['Svante August Arrhenius'],1,“in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation”
627,The Nobel Prize in Physiology or Medicine,1903,['Niels Ryberg Finsen'],1,"“in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science”"
628,The Nobel Prize in Literature,1903,['Bjørnstjerne Martinus Bjørnson'],1,"“as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit”"
629,The Nobel Peace Prize,1903,['William Randal Cremer'],1,
630,The Nobel Prize in Physics,1902,"['Hendrik Antoon Lorentz', 'Pieter Zeeman']",2,“in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena”
631,The Nobel Prize in Chemistry,1902,['Hermann Emil Fischer'],1,“in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses”
632,The Nobel Prize in Physiology or Medicine,1902,['Ronald Ross'],1,"“for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it”"
633,The Nobel Prize in Literature,1902,['Christian Matthias Theodor Mommsen'],1,"“the greatest living master of the art of historical writing, with special reference to his monumental work, A history of Rome”"
634,The Nobel Peace Prize,1902,"['Élie Ducommun', 'Charles Albert Gobat']",2,
635,The Nobel Prize in Physics,1901,['Wilhelm Conrad Röntgen'],1,“in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him”
636,The Nobel Prize in Chemistry,1901,['Jacobus Henricus van ‘t Hoff'],1,“in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions”
637,The Nobel Prize in Physiology or Medicine,1901,['Emil Adolf von Behring'],1,"“for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths”"
638,The Nobel Prize in Literature,1901,['Sully Prudhomme'],1,"“in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect”"
639,The Nobel Peace Prize,1901,"['Jean Henry Dunant', 'Frédéric Passy']",2,
